Date,Category,Format,Hook,Post body,CTA,Hashtags,Status,Notes
2026-06-03,Web design tips,opinion,"Una web en Wix puede funcionar. Una web mal estructurada, no.","He visto webs caras que no funcionan y webs simples que sí.

La herramienta importa menos de lo que parece. Lo que importa es:

— Que cargue rápido
— Que sea clara en móvil
— Que tenga una llamada a la acción visible
— Que el contenido responda las preguntas del visitante

El resto es secundario.","Si quieres que revise tu web, mándamela y te digo qué mejoraría.",#DiseñoWeb #MarketingDigital #NegociosLocales,Draft,
2026-06-04,Advice for local businesses,short-educational,"En el sector inmobiliario, la primera impresión digital lo es todo.","El comprador o arrendatario ya ha visto 10 opciones antes de contactarte.

Si tu web no muestra las propiedades de forma clara, si las fotos son malas, si no hay forma fácil de contactar...

Has perdido al cliente antes de hablar con él.

La presentación digital en este sector no es opcional. Es parte del servicio.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#Inmobiliaria #MarketingDigital #DiseñoWeb #NegociosLocales,Draft,
2026-06-05,SEO local tips,checklist,¿Apareces cuando buscan lo que haces en tu ciudad?,"Prueba esto ahora:

Abre Google en modo incógnito y busca tu servicio + tu ciudad.

¿Apareces en los primeros resultados?
¿Tienes tu ficha de Google Business completa?
¿Tu web menciona tu ciudad y tu servicio juntos?

Si la respuesta es no a alguna de estas, hay trabajo por hacer. Y no es tan complicado como parece.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#SEOLocal #GoogleBusiness #NegociosLocales #MarketingDigital,Draft,
2026-06-06,Lessons from building Kuraianto,story,Por qué monté Kuraianto.,"Vi que muchos negocios locales están perdiendo clientes sin saberlo.

No es que no quieran tener presencia digital. Es que no tienen tiempo, no saben por dónde empezar, o les han pedido precios que no tienen sentido para su tamaño.

El servicio que quería construir tenía que ser concreto, honesto y sin rodeos.

Todavía estoy construyéndolo. Pero eso es lo que guía cada decisión.",Puedes ver más en kuraianto.com,#Emprendimiento #Kuraianto #MarketingDigital #NegociosLocales,Draft,
2026-06-07,Google Ads tips,opinion,Pagar por clics no es lo mismo que pagar por clientes.,"Google Ads te cobra por el clic, no por el resultado.

Si mandas ese clic a una web que no convierte, estás pagando para que alguien se vaya.

Por eso lo primero siempre es la landing page. El anuncio viene después.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#GoogleAds #MarketingDigital #PublicidadOnline #NegociosLocales,Draft,
2026-06-08,Common website mistakes,mistake,5 cosas que tu web puede estar haciendo mal en móvil.,"1. El texto es demasiado pequeño para leer.
2. Los botones están demasiado juntos para pulsar.
3. El formulario tiene demasiados campos.
4. Las imágenes tardan demasiado en cargar.
5. No hay número de teléfono visible sin hacer scroll.

Revisa tu web desde el móvil ahora mismo. Probablemente algo de esto está pasando.","Si quieres que revise tu web, mándamela y te digo qué mejoraría.",#DiseñoWeb #MovilFirst #UX #NegociosLocales,Draft,
2026-06-09,Advice for clinics,opinion,Las reseñas en Google valen más que un anuncio para una clínica.,"Cuando alguien busca un dentista o médico, lo primero que mira son las reseñas.

Una clínica con 30 reseñas reales y una media de 4.5 gana a cualquier anuncio.

Pedir reseñas a pacientes satisfechos es incómodo. Pero es probablemente la mejor inversión en marketing que puede hacer una clínica pequeña.","Si tienes un negocio local, puedo prepararte una primera idea sin compromiso.",#Clinicas #Dentistas #SEOLocal #NegociosLocales #MarketingDigital,Draft,
2026-06-10,Lead generation,short-educational,La diferencia entre visitas y clientes está en un botón.,"He visto webs con tráfico decente que no generan contactos.

El problema casi siempre es el mismo: no hay una acción clara que hacer.

Un botón de WhatsApp visible. Un formulario corto. Un número de teléfono que se puede pulsar.

Son cosas simples. Pero sin ellas, las visitas se van sin dejar rastro.","Si quieres que revise tu web, mándamela y te digo qué mejoraría.",#GeneraciónDeLeads #DiseñoWeb #MarketingDigital #NegociosLocales,Draft,
2026-06-11,Advice for restaurants,checklist,"Si tienes un restaurante, esto es lo mínimo que necesitas online.","✓ Ficha de Google Business con horarios y fotos actualizadas
✓ Menú visible (PDF o página, lo que sea, pero que esté)
✓ Número de teléfono o enlace de reserva claro
✓ Al menos 20 fotos reales de platos y del local
✓ Responder a todas las reseñas, buenas y malas

Con esto bien hecho ya estás por encima de muchos competidores.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#Restaurantes #SEOLocal #NegociosLocales #MarketingDigital,Draft,
2026-06-12,Soft sales post,soft-sales,"Si tienes un negocio local y quieres mejorar tu presencia online, esto es lo que hago.","En Kuraianto trabajo con negocios locales que quieren:

— Una web que les ayude a conseguir clientes
— Aparecer en Google cuando les buscan en su ciudad
— Anuncios que tengan sentido para su presupuesto

No prometo resultados mágicos. Trabajo con honestidad y con foco en lo que realmente importa para tu negocio.

Si quieres, puedo prepararte una demo o una primera revisión sin compromiso.","Si tienes un negocio y quieres una demo gratis de tu web, escríbeme.",#Kuraianto #MarketingDigital #DiseñoWeb #NegociosLocales #SEOLocal,Draft,
